x,y,u,v,p
0.0078125,0.0078125,0,0,-0.170758
0.0234375,0.0078125,0,0,-0.170915
0.0390625,0.0078125,0,0,-0.170828
0.0546875,0.0078125,0,0,-0.171001
0.0703125,0.0078125,0,0,-0.170952
0.0859375,0.0078125,0,0,-0.171048
0.101562,0.0078125,0,0,-0.170998
0.117188,0.0078125,0,0,-0.171032
0.132812,0.0078125,0,0,-0.170974
0.148438,0.0078125,0,0,-0.170966
0.164062,0.0078125,0,0,-0.170899
0.179688,0.0078125,0,0,-0.17086
0.195312,0.0078125,0,0,-0.170782
0.210938,0.0078125,0,0,-0.170717
0.226562,0.0078125,0,0,-0.170625
0.242188,0.0078125,0,0,-0.170537
0.257812,0.0078125,0,0,-0.170428
0.273438,0.0078125,0,0,-0.170316
0.289062,0.0078125,0,0,-0.170186
0.304688,0.0078125,0,0,-0.170048
0.320312,0.0078125,0,0,-0.169894
0.335938,0.0078125,0,0,-0.169728
0.351562,0.0078125,0,0,-0.169546
0.367188,0.0078125,0,0,-0.169349
0.382812,0.0078125,0,0,-0.169135
0.398438,0.0078125,0,0,-0.168905
0.414062,0.0078125,0,0,-0.168656
0.429688,0.0078125,0,0,-0.16839
0.445312,0.0078125,0,0,-0.168106
0.460938,0.0078125,0,0,-0.167805
0.476562,0.0078125,0,0,-0.167487
0.492188,0.0078125,0,0,-0.167154
0.507812,0.0078125,0,0,-0.166806
0.523438,0.0078125,0,0,-0.166447
0.539062,0.0078125,0,0,-0.166078
0.554688,0.0078125,0,0,-0.165704
0.570312,0.0078125,0,0,-0.165329
0.585938,0.0078125,0,0,-0.164955
0.601562,0.0078125,0,0,-0.164589
0.617188,0.0078125,0,0,-0.164234
0.632812,0.0078125,0,0,-0.163896
0.648438,0.0078125,0,0,-0.16358
0.664062,0.0078125,0,0,-0.163289
0.679688,0.0078125,0,0,-0.163028
0.695312,0.0078125,0,0,-0.1628
0.710938,0.0078125,0,0,-0.162608
0.726562,0.0078125,0,0,-0.162451
0.742188,0.0078125,0,0,-0.162333
0.757812,0.0078125,0,0,-0.16225
0.773438,0.0078125,0,0,-0.162204
0.789062,0.0078125,0,0,-0.162189
0.804688,0.0078125,0,0,-0.162204
0.820312,0.0078125,0,0,-0.162245
0.835938,0.0078125,0,0,-0.162307
0.851562,0.0078125,0,0,-0.162387
0.867188,0.0078125,0,0,-0.162478
0.882812,0.0078125,0,0,-0.162578
0.898438,0.0078125,0,0,-0.162677
0.914062,0.0078125,0,0,-0.162779
0.929688,0.0078125,0,0,-0.162861
0.945312,0.0078125,0,0,-0.162945
0.960938,0.0078125,0,0,-0.162979
0.976562,0.0078125,0,0,-0.163023
0.992188,0.0078125,0,0,-0.162993
0.0078125,0.0234375,0,0,-0.170602
0.0234375,0.0234375,-4.85306e-05,5.02305e-05,-0.170776
0.0390625,0.0234375,-0.000368263,-7.53466e-06,-0.170625
0.0546875,0.0234375,-0.000696301,5.99243e-05,-0.170764
0.0703125,0.0234375,-0.00130044,2.12344e-05,-0.170645
0.0859375,0.0234375,-0.00185651,6.0724e-05,-0.170729
0.101562,0.0234375,-0.00259051,3.63945e-05,-0.170633
0.117188,0.0234375,-0.00326145,5.96387e-05,-0.170668
0.132812,0.0234375,-0.00403625,4.44675e-05,-0.170583
0.148438,0.0234375,-0.00475734,5.82244e-05,-0.170578
0.164062,0.0234375,-0.00553931,4.89587e-05,-0.170496
0.179688,0.0234375,-0.00628387,5.72456e-05,-0.170459
0.195312,0.0234375,-0.00706596,5.17399e-05,-0.170371
0.210938,0.0234375,-0.00782517,5.68384e-05,-0.170308
0.226562,0.0234375,-0.00860871,5.36472e-05,-0.170209
0.242188,0.0234375,-0.00937929,5.68145e-05,-0.170122
0.257812,0.0234375,-0.0101655,5.49548e-05,-0.170008
0.273438,0.0234375,-0.0109438,5.68509e-05,-0.169897
0.289062,0.0234375,-0.0117306,5.56343e-05,-0.169766
0.304688,0.0234375,-0.01251,5.65605e-05,-0.169631
0.320312,0.0234375,-0.0132902,5.54721e-05,-0.169479
0.335938,0.0234375,-0.0140595,5.55026e-05,-0.16932
0.351562,0.0234375,-0.0148202,5.41191e-05,-0.169144
0.367188,0.0234375,-0.0155623,5.31797e-05,-0.168959
0.382812,0.0234375,-0.0162838,5.11254e-05,-0.168759
0.398438,0.0234375,-0.0169748,4.90522e-05,-0.168547
0.414062,0.0234375,-0.01763,4.59881e-05,-0.168321
0.429688,0.0234375,-0.018239,4.25834e-05,-0.168082
0.445312,0.0234375,-0.0187938,3.82274e-05,-0.16783
0.460938,0.0234375,-0.0192833,3.33244e-05,-0.167567
0.476562,0.0234375,-0.0196981,2.7496e-05,-0.167292
0.492188,0.0234375,-0.0200268,2.10319e-05,-0.167007
0.507812,0.0234375,-0.0202597,1.37122e-05,-0.166713
0.523438,0.0234375,-0.0203864,5.8017e-06,-0.166413
0.539062,0.0234375,-0.0203985,-2.80806e-06,-0.166107
0.554688,0.0234375,-0.0202883,-1.18171e-05,-0.165799
0.570312,0.0234375,-0.0200501,-2.12623e-05,-0.165491
0.585938,0.0234375,-0.0196807,-3.07711e-05,-0.165187
0.601562,0.0234375,-0.019179,-4.03569e-05,-0.164889
0.617188,0.0234375,-0.0185474,-4.95565e-05,-0.164601
0.632812,0.0234375,-0.0177906,-5.84228e-05,-0.164326
0.648438,0.0234375,-0.016917,-6.63973e-05,-0.164067
0.664062,0.0234375,-0.0159374,-7.36498e-05,-0.163827
0.679688,0.0234375,-0.014866,-7.95287e-05,-0.16361
0.695312,0.0234375,-0.0137185,-8.44004e-05,-0.163415
0.710938,0.0234375,-0.0125137,-8.75227e-05,-0.163247
0.726562,0.0234375,-0.0112704,-8.95189e-05,-0.163104
0.742188,0.0234375,-0.0100097,-8.95616e-05,-0.162988
0.757812,0.0234375,-0.00875153,-8.8539e-05,-0.162898
0.773438,0.0234375,-0.00751626,-8.5569e-05,-0.162832
0.789062,0.0234375,-0.00632364,-8.17155e-05,-0.162789
0.804688,0.0234375,-0.00519072,-7.6156e-05,-0.162767
0.820312,0.0234375,-0.00413635,-6.98798e-05,-0.162762
0.835938,0.0234375,-0.00317201,-6.24281e-05,-0.162772
0.851562,0.0234375,-0.00231678,-5.42034e-05,-0.162795
0.867188,0.0234375,-0.00157364,-4.57857e-05,-0.162822
0.882812,0.0234375,-0.000964901,-3.60252e-05,-0.162859
0.898438,0.0234375,-0.000479334,-2.79205e-05,-0.162889
0.914062,0.0234375,-0.000147197,-1.69102e-05,-0.162931
0.929688,0.0234375,7.0837e-05,-1.12727e-05,-0.162948
0.945312,0.0234375,0.000130076,9.55919e-07,-0.162988
0.960938,0.0234375,0.000131982,-9.68697e-07,-0.162979
0.976562,0.0234375,8.42566e-06,1.02126e-05,-0.163019
0.992188,0.0234375,0,0,-0.162964
0.0078125,0.0390625,0,0,-0.170645
0.0234375,0.0390625,-5.91481e-06,0.000377341,-0.170894
0.0390625,0.0390625,-0.000628439,0.000569312,-0.170737
0.0546875,0.0390625,-0.00127338,0.000915767,-0.170913
0.0703125,0.0390625,-0.0023754,0.00107278,-0.17081
0.0859375,0.0390625,-0.00344565,0.00124838,-0.170912
0.101562,0.0390625,-0.00477561,0.00131511,-0.170833
0.117188,0.0390625,-0.0060449,0.00138719,-0.170875
0.132812,0.0390625,-0.00745175,0.00140672,-0.170802
0.148438,0.0390625,-0.00880106,0.00143428,-0.170801
0.164062,0.0390625,-0.010225,0.00143871,-0.170725
0.179688,0.0390625,-0.0116073,0.00145163,-0.170691
0.195312,0.0390625,-0.0130335,0.0014545,-0.170608
0.210938,0.0390625,-0.0144342,0.00146376,-0.170545
0.226562,0.0390625,-0.0158624,0.00146784,-0.17045
0.242188,0.0390625,-0.0172757,0.00147526,-0.170363
0.257812,0.0390625,-0.0187057,0.0014786,-0.170252
0.273438,0.0390625,-0.020125,0.00148211,-0.170141
0.289062,0.0390625,-0.0215505,0.00148082,-0.17001
0.304688,0.0390625,-0.0229632,0.00147653,-0.169874
0.320312,0.0390625,-0.0243697,0.00146563,-0.169721
0.335938,0.0390625,-0.0257546,0.00144843,-0.169558
0.351562,0.0390625,-0.0271174,0.001422,-0.169378
0.367188,0.0390625,-0.0284432,0.00138574,-0.169186
0.382812,0.0390625,-0.0297257,0.00133712,-0.168977
0.398438,0.0390625,-0.0309493,0.00127503,-0.168755
0.414062,0.0390625,-0.0321029,0.00119728,-0.168515
0.429688,0.0390625,-0.0331692,0.00110271,-0.168261
0.445312,0.0390625,-0.0341335,0.000989681,-0.16799
0.460938,0.0390625,-0.0349772,0.000857439,-0.167705
0.476562,0.0390625,-0.0356834,0.000705233,-0.167404
0.492188,0.0390625,-0.0362335,0.000533241,-0.167091
0.507812,0.0390625,-0.0366105,0.000341988,-0.166766
0.523438,0.0390625,-0.0367978,0.000133033,-0.166431
0.539062,0.0390625,-0.0367811,-9.15274e-05,-0.166089
0.554688,0.0390625,-0.0365485,-0.000328506,-0.165744
0.570312,0.0390625,-0.0360913,-0.0005742,-0.165397
0.585938,0.0390625,-0.0354049,-0.000823874,-0.165053
0.601562,0.0390625,-0.0344886,-0.00107256,-0.164715
0.617188,0.0390625,-0.0333474,-0.00131446,-0.16439
0.632812,0.0390625,-0.0319904,-0.00154408,-0.164078
0.648438,0.0390625,-0.0304327,-0.00175532,-0.163787
0.664062,0.0390625,-0.0286931,-0.00194323,-0.163518
0.679688,0.0390625,-0.0267963,-0.00210236,-0.163277
0.695312,0.0390625,-0.0247692,-0.00222931,-0.163063
0.710938,0.0390625,-0.0226434,-0.0023201,-0.162882
0.726562,0.0390625,-0.020451,-0.00237368,-0.162732
0.742188,0.0390625,-0.018227,-0.00238787,-0.162615
0.757812,0.0390625,-0.0160052,-0.00236427,-0.16253
0.773438,0.0390625,-0.0138199,-0.00230224,-0.162476
0.789062,0.0390625,-0.0117037,-0.00220571,-0.16245
0.804688,0.0390625,-0.00968681,-0.00207483,-0.16245
0.820312,0.0390625,-0.00779949,-0.00191514,-0.162472
0.835938,0.0390625,-0.00606478,-0.00172675,-0.162512
0.851562,0.0390625,-0.00451177,-0.00151622,-0.162567
0.867188,0.0390625,-0.00315342,-0.00128334,-0.16263
0.882812,0.0390625,-0.00202049,-0.0010363,-0.162702
0.898438,0.0390625,-0.00110934,-0.000775844,-0.162769
0.914062,0.0390625,-0.000455873,-0.000515695,-0.162842
0.929688,0.0390625,-2.12566e-05,-0.000261392,-0.162892
0.945312,0.0390625,0.000150396,-4.43059e-05,-0.162953
0.960938,0.0390625,0.000184643,0.000117268,-0.162962
0.976562,0.0390625,1.83421e-05,0.000145158,-0.16301
0.992188,0.0390625,0,0,-0.162947
0.0078125,0.0546875,0,0,-0.170488
0.0234375,0.0546875,-6.14192e-05,0.00076006,-0.170793
0.0390625,0.0546875,-0.00101703,0.00125018,-0.170592
0.0546875,0.0546875,-0.00198063,0.0018806,-0.170776
0.0703125,0.0546875,-0.00350121,0.00221168,-0.170635
0.0859375,0.0546875,-0.00498671,0.0025319,-0.170736
0.101562,0.0546875,-0.00678761,0.00267282,-0.170629
0.117188,0.0546875,-0.00852804,0.0028052,-0.17067
0.132812,0.0546875,-0.0104384,0.00284941,-0.17058
0.148438,0.0546875,-0.0122902,0.00289965,-0.170578
0.164062,0.0546875,-0.0142344,0.00291089,-0.170493
