x,y,u,v,p
0.0078125,0.0078125,0,0,-0.106915
0.0234375,0.0078125,0,0,-0.107012
0.0390625,0.0078125,0,0,-0.106967
0.0546875,0.0078125,0,0,-0.107054
0.0703125,0.0078125,0,0,-0.107022
0.0859375,0.0078125,0,0,-0.107059
0.101562,0.0078125,0,0,-0.107018
0.117188,0.0078125,0,0,-0.107014
0.132812,0.0078125,0,0,-0.106959
0.148438,0.0078125,0,0,-0.106923
0.164062,0.0078125,0,0,-0.106853
0.179688,0.0078125,0,0,-0.106791
0.195312,0.0078125,0,0,-0.106705
0.210938,0.0078125,0,0,-0.106619
0.226562,0.0078125,0,0,-0.106516
0.242188,0.0078125,0,0,-0.106408
0.257812,0.0078125,0,0,-0.106286
0.273438,0.0078125,0,0,-0.106157
0.289062,0.0078125,0,0,-0.106015
0.304688,0.0078125,0,0,-0.105864
0.320312,0.0078125,0,0,-0.105702
0.335938,0.0078125,0,0,-0.10553
0.351562,0.0078125,0,0,-0.105348
0.367188,0.0078125,0,0,-0.105155
0.382812,0.0078125,0,0,-0.104952
0.398438,0.0078125,0,0,-0.104738
0.414062,0.0078125,0,0,-0.104515
0.429688,0.0078125,0,0,-0.104282
0.445312,0.0078125,0,0,-0.104039
0.460938,0.0078125,0,0,-0.103786
0.476562,0.0078125,0,0,-0.103525
0.492188,0.0078125,0,0,-0.103256
0.507812,0.0078125,0,0,-0.102979
0.523438,0.0078125,0,0,-0.102695
0.539062,0.0078125,0,0,-0.102405
0.554688,0.0078125,0,0,-0.10211
0.570312,0.0078125,0,0,-0.10181
0.585938,0.0078125,0,0,-0.101507
0.601562,0.0078125,0,0,-0.101201
0.617188,0.0078125,0,0,-0.100895
0.632812,0.0078125,0,0,-0.10059
0.648438,0.0078125,0,0,-0.100287
0.664062,0.0078125,0,0,-0.0999867
0.679688,0.0078125,0,0,-0.0996933
0.695312,0.0078125,0,0,-0.0994049
0.710938,0.0078125,0,0,-0.0991277
0.726562,0.0078125,0,0,-0.0988575
0.742188,0.0078125,0,0,-0.0986036
0.757812,0.0078125,0,0,-0.0983579
0.773438,0.0078125,0,0,-0.0981346
0.789062,0.0078125,0,0,-0.0979189
0.804688,0.0078125,0,0,-0.0977336
0.820312,0.0078125,0,0,-0.0975524
0.835938,0.0078125,0,0,-0.0974123
0.851562,0.0078125,0,0,-0.0972686
0.867188,0.0078125,0,0,-0.0971821
0.882812,0.0078125,0,0,-0.0970766
0.898438,0.0078125,0,0,-0.0970531
0.914062,0.0078125,0,0,-0.096983
0.929688,0.0078125,0,0,-0.0970338
0.945312,0.0078125,0,0,-0.0969886
0.960938,0.0078125,0,0,-0.0971228
0.976562,0.0078125,0,0,-0.0970628
0.992188,0.0078125,0,0,-0.0972159
0.0078125,0.0234375,0,0,-0.106819
0.0234375,0.0234375,-3.01317e-05,3.08681e-05,-0.106919
0.0390625,0.0234375,-0.00024151,1.43185e-07,-0.106834
0.0546875,0.0234375,-0.000447747,3.53745e-05,-0.106903
0.0703125,0.0234375,-0.000807717,1.58198e-05,-0.106833
0.0859375,0.0234375,-0.00113774,3.57625e-05,-0.106863
0.101562,0.0234375,-0.00156115,2.38466e-05,-0.106798
0.117188,0.0234375,-0.00194971,3.52329e-05,-0.106794
0.132812,0.0234375,-0.00238959,2.78854e-05,-0.106727
0.148438,0.0234375,-0.00279994,3.43797e-05,-0.106694
0.164062,0.0234375,-0.00323764,2.98388e-05,-0.106617
0.179688,0.0234375,-0.00365347,3.3533e-05,-0.106558
0.195312,0.0234375,-0.00408339,3.06967e-05,-0.106469
0.210938,0.0234375,-0.00449762,3.27466e-05,-0.106387
0.226562,0.0234375,-0.00491809,3.09069e-05,-0.106283
0.242188,0.0234375,-0.00532661,3.19509e-05,-0.106179
0.257812,0.0234375,-0.00573618,3.06578e-05,-0.106058
0.273438,0.0234375,-0.00613549,3.10507e-05,-0.105932
0.289062,0.0234375,-0.00653193,3.00194e-05,-0.105793
0.304688,0.0234375,-0.00691831,2.99553e-05,-0.105647
0.320312,0.0234375,-0.00729854,2.90012e-05,-0.105489
0.335938,0.0234375,-0.00766777,2.85804e-05,-0.105323
0.351562,0.0234375,-0.00802778,2.75784e-05,-0.105146
0.367188,0.0234375,-0.00837504,2.68451e-05,-0.104961
0.382812,0.0234375,-0.00870993,2.57055e-05,-0.104765
0.398438,0.0234375,-0.00902966,2.46717e-05,-0.10456
0.414062,0.0234375,-0.00933367,2.33261e-05,-0.104346
0.429688,0.0234375,-0.00961953,2.19859e-05,-0.104124
0.445312,0.0234375,-0.00988605,2.03806e-05,-0.103892
0.460938,0.0234375,-0.010131,1.87213e-05,-0.103653
0.476562,0.0234375,-0.0103526,1.68145e-05,-0.103406
0.492188,0.0234375,-0.0105489,1.48247e-05,-0.103151
0.507812,0.0234375,-0.0107177,1.25866e-05,-0.102891
0.523438,0.0234375,-0.0108572,1.0264e-05,-0.102624
0.539062,0.0234375,-0.0109649,7.67822e-06,-0.102352
0.554688,0.0234375,-0.0110392,5.03707e-06,-0.102077
0.570312,0.0234375,-0.0110776,2.10286e-06,-0.101798
0.585938,0.0234375,-0.0110787,-8.1817e-07,-0.101517
0.601562,0.0234375,-0.01104,-4.08519e-06,-0.101234
0.617188,0.0234375,-0.0109608,-7.21461e-06,-0.100952
0.632812,0.0234375,-0.0108383,-1.07841e-05,-0.100671
0.648438,0.0234375,-0.0106732,-1.40084e-05,-0.100394
0.664062,0.0234375,-0.0104619,-1.78421e-05,-0.100119
0.679688,0.0234375,-0.0102071,-2.09944e-05,-0.0998512
0.695312,0.0234375,-0.00990434,-2.50605e-05,-0.0995879
0.710938,0.0234375,-0.00955915,-2.79051e-05,-0.0993367
