x,y,u,v,p
0.0078125,0.0078125,0,0,-0.137052
0.0234375,0.0078125,0,0,-0.137181
0.0390625,0.0078125,0,0,-0.137118
0.0546875,0.0078125,0,0,-0.137238
0.0703125,0.0078125,0,0,-0.137196
0.0859375,0.0078125,0,0,-0.137251
0.101562,0.0078125,0,0,-0.137201
0.117188,0.0078125,0,0,-0.137204
0.132812,0.0078125,0,0,-0.137138
0.148438,0.0078125,0,0,-0.137102
0.164062,0.0078125,0,0,-0.13702
0.179688,0.0078125,0,0,-0.136951
0.195312,0.0078125,0,0,-0.136851
0.210938,0.0078125,0,0,-0.136755
0.226562,0.0078125,0,0,-0.136635
0.242188,0.0078125,0,0,-0.136513
0.257812,0.0078125,0,0,-0.136372
0.273438,0.0078125,0,0,-0.136224
0.289062,0.0078125,0,0,-0.13606
0.304688,0.0078125,0,0,-0.135887
0.320312,0.0078125,0,0,-0.135699
0.335938,0.0078125,0,0,-0.135501
0.351562,0.0078125,0,0,-0.135288
0.367188,0.0078125,0,0,-0.135064
0.382812,0.0078125,0,0,-0.134826
0.398438,0.0078125,0,0,-0.134576
0.414062,0.0078125,0,0,-0.134313
0.429688,0.0078125,0,0,-0.134038
0.445312,0.0078125,0,0,-0.133751
0.460938,0.0078125,0,0,-0.133453
0.476562,0.0078125,0,0,-0.133143
0.492188,0.0078125,0,0,-0.132824
0.507812,0.0078125,0,0,-0.132496
0.523438,0.0078125,0,0,-0.132159
0.539062,0.0078125,0,0,-0.131816
0.554688,0.0078125,0,0,-0.131467
0.570312,0.0078125,0,0,-0.131116
0.585938,0.0078125,0,0,-0.130762
0.601562,0.0078125,0,0,-0.13041
0.617188,0.0078125,0,0,-0.13006
0.632812,0.0078125,0,0,-0.129716
0.648438,0.0078125,0,0,-0.129379
0.664062,0.0078125,0,0,-0.129053
0.679688,0.0078125,0,0,-0.128741
0.695312,0.0078125,0,0,-0.128442
0.710938,0.0078125,0,0,-0.128164
0.726562,0.0078125,0,0,-0.127903
0.742188,0.0078125,0,0,-0.127667
0.757812,0.0078125,0,0,-0.127451
0.773438,0.0078125,0,0,-0.127265
0.789062,0.0078125,0,0,-0.127099
0.804688,0.0078125,0,0,-0.126968
0.820312,0.0078125,0,0,-0.126853
0.835938,0.0078125,0,0,-0.126779
0.851562,0.0078125,0,0,-0.126714
0.867188,0.0078125,0,0,-0.126697
0.882812,0.0078125,0,0,-0.126677
0.898438,0.0078125,0,0,-0.126715
0.914062,0.0078125,0,0,-0.126728
0.929688,0.0078125,0,0,-0.126818
0.945312,0.0078125,0,0,-0.126844
0.960938,0.0078125,0,0,-0.126972
0.976562,0.0078125,0,0,-0.126963
0.992188,0.0078125,0,0,-0.127058
0.0078125,0.0234375,0,0,-0.136924
0.0234375,0.0234375,-3.99169e-05,4.09114e-05,-0.137059
0.0390625,0.0234375,-0.00031543,-1.29497e-06,-0.136944
0.0546875,0.0234375,-0.000584852,4.70758e-05,-0.137041
0.0703125,0.0234375,-0.00106127,1.98614e-05,-0.136947
0.0859375,0.0234375,-0.0014975,4.75381e-05,-0.136993
0.101562,0.0234375,-0.00206298,3.09307e-05,-0.13691
0.117188,0.0234375,-0.00258271,4.6947e-05,-0.136912
0.132812,0.0234375,-0.00317625,3.67557e-05,-0.136828
0.148438,0.0234375,-0.00373177,4.60267e-05,-0.136794
0.164062,0.0234375,-0.00432852,3.97858e-05,-0.136702
0.179688,0.0234375,-0.00489779,4.51682e-05,-0.136636
0.195312,0.0234375,-0.00549003,4.13483e-05,-0.136531
0.210938,0.0234375,-0.00606352,4.44535e-05,-0.136437
0.226562,0.0234375,-0.00664934,4.20721e-05,-0.136315
0.242188,0.0234375,-0.00722202,4.37914e-05,-0.136196
0.257812,0.0234375,-0.00780008,4.22092e-05,-0.136055
0.273438,0.0234375,-0.00836764,4.30256e-05,-0.13591
0.289062,0.0234375,-0.00893525,4.18211e-05,-0.135749
0.304688,0.0234375,-0.0094926,4.19841e-05,-0.13558
0.320312,0.0234375,-0.0100451,4.08695e-05,-0.135397
0.335938,0.0234375,-0.0105857,4.0491e-05,-0.135204
0.351562,0.0234375,-0.0111164,3.92581e-05,-0.134999
0.367188,0.0234375,-0.0116319,3.83671e-05,-0.134783
0.382812,0.0234375,-0.0121319,3.68539e-05,-0.134555
0.398438,0.0234375,-0.0126117,3.54307e-05,-0.134318
0.414062,0.0234375,-0.0130698,3.35041e-05,-0.134068
0.429688,0.0234375,-0.0135015,3.15038e-05,-0.133809
0.445312,0.0234375,-0.0139042,2.9054e-05,-0.13354
0.460938,0.0234375,-0.0142732,2.64262e-05,-0.133262
0.476562,0.0234375,-0.014605,2.33694e-05,-0.132975
0.492188,0.0234375,-0.0148949,2.00769e-05,-0.13268
0.507812,0.0234375,-0.0151389,1.63639e-05,-0.132379
0.523438,0.0234375,-0.0153325,1.24025e-05,-0.132072
0.539062,0.0234375,-0.0154713,8.0316e-06,-0.13176
0.554688,0.0234375,-0.0155513,3.44931e-06,-0.131446
0.570312,0.0234375,-0.0155684,-1.52052e-06,-0.13113
0.585938,0.0234375,-0.0155193,-6.60604e-06,-0.130814
0.601562,0.0234375,-0.0154004,-1.20457e-05,-0.1305
0.617188,0.0234375,-0.0152102,-1.74355e-05,-0.130191
0.632812,0.0234375,-0.0149458,-2.31456e-05,-0.129887
0.648438,0.0234375,-0.0146079,-2.85575e-05,-0.129591
0.664062,0.0234375,-0.0141947,-3.42826e-05,-0.129304
0.679688,0.0234375,-0.0137096,-3.936e-05,-0.129031
0.695312,0.0234375,-0.013152,-4.48203e-05,-0.128769
0.710938,0.0234375,-0.0125287,-4.91498e-05,-0.128525
0.726562,0.0234375,-0.0118393,-5.40873e-05,-0.128296
0.742188,0.0234375,-0.0110954,-5.72134e-05,-0.128089
0.757812,0.0234375,-0.0102956,-6.14493e-05,-0.127896
0.773438,0.0234375,-0.00945713,-6.2868e-05,-0.12773
0.789062,0.0234375,-0.00857547,-6.6362e-05,-0.127577
0.804688,0.0234375,-0.0076766,-6.54686e-05,-0.127456
0.820312,0.0234375,-0.00674923,-6.83842e-05,-0.127341
0.835938,0.0234375,-0.00583257,-6.43513e-05,-0.127266
0.851562,0.0234375,-0.00490385,-6.71496e-05,-0.127186
0.867188,0.0234375,-0.00402307,-5.87184e-05,-0.127154
0.882812,0.0234375,-0.00314917,-6.23452e-05,-0.127099
0.898438,0.0234375,-0.0023737,-4.75281e-05,-0.127109
0.914062,0.0234375,-0.00162877,-5.382e-05,-0.127066
0.929688,0.0234375,-0.00104772,-2.95666e-05,-0.127112
0.945312,0.0234375,-0.000527702,-4.20486e-05,-0.127066
0.960938,0.0234375,-0.000234304,-3.6721e-06,-0.127139
0.976562,0.0234375,-2.98691e-05,-2.81047e-05,-0.127076
0.992188,0.0234375,0,0,-0.127154
0.0078125,0.0390625,0,0,-0.13697
0.0234375,0.0390625,-3.76361e-06,0.000319126,-0.137161
0.0390625,0.0390625,-0.000506095,0.000482253,-0.137044
0.0546875,0.0390625,-0.00100833,0.000728781,-0.137167
