x,y,u,v,p
0.0078125,0.0078125,0,0,-1.42377
0.0234375,0.0078125,0,0,-1.42032
0.0390625,0.0078125,0,0,-1.41342
0.0546875,0.0078125,0,0,-1.40311
0.0703125,0.0078125,0,0,-1.38939
0.0859375,0.0078125,0,0,-1.37231
0.101562,0.0078125,0,0,-1.35192
0.117188,0.0078125,0,0,-1.32825
0.132812,0.0078125,0,0,-1.30137
0.148438,0.0078125,0,0,-1.27135
0.164062,0.0078125,0,0,-1.23827
0.179688,0.0078125,0,0,-1.2022
0.195312,0.0078125,0,0,-1.16324
0.210938,0.0078125,0,0,-1.12148
0.226562,0.0078125,0,0,-1.07703
0.242188,0.0078125,0,0,-1.03
0.257812,0.0078125,0,0,-0.980497
0.273438,0.0078125,0,0,-0.928649
0.289062,0.0078125,0,0,-0.87458
0.304688,0.0078125,0,0,-0.818424
0.320312,0.0078125,0,0,-0.760316
0.335938,0.0078125,0,0,-0.700397
0.351562,0.0078125,0,0,-0.638811
0.367188,0.0078125,0,0,-0.575706
0.382812,0.0078125,0,0,-0.511234
0.398438,0.0078125,0,0,-0.445548
0.414062,0.0078125,0,0,-0.378806
0.429688,0.0078125,0,0,-0.311166
0.445312,0.0078125,0,0,-0.242789
0.460938,0.0078125,0,0,-0.173838
0.476562,0.0078125,0,0,-0.104474
0.492188,0.0078125,0,0,-0.0348637
0.507812,0.0078125,0,0,0.0348295
0.523438,0.0078125,0,0,0.10444
0.539062,0.0078125,0,0,0.173804
0.554688,0.0078125,0,0,0.242757
0.570312,0.0078125,0,0,0.311135
0.585938,0.0078125,0,0,0.378777
0.601562,0.0078125,0,0,0.445521
0.617188,0.0078125,0,0,0.511208
0.632812,0.0078125,0,0,0.575683
0.648438,0.0078125,0,0,0.63879
0.664062,0.0078125,0,0,0.700379
0.679688,0.0078125,0,0,0.760301
0.695312,0.0078125,0,0,0.818412
0.710938,0.0078125,0,0,0.874572
0.726562,0.0078125,0,0,0.928644
0.742188,0.0078125,0,0,0.980496
0.757812,0.0078125,0,0,1.03
0.773438,0.0078125,0,0,1.07704
0.789062,0.0078125,0,0,1.12149
0.804688,0.0078125,0,0,1.16325
0.820312,0.0078125,0,0,1.20222
0.835938,0.0078125,0,0,1.23829
0.851562,0.0078125,0,0,1.27138
0.867188,0.0078125,0,0,1.3014
0.882812,0.0078125,0,0,1.32827
0.898438,0.0078125,0,0,1.35194
0.914062,0.0078125,0,0,1.37234
0.929688,0.0078125,0,0,1.38942
0.945312,0.0078125,0,0,1.40314
0.960938,0.0078125,0,0,1.41346
0.976562,0.0078125,0,0,1.42035
0.992188,0.0078125,0,0,1.4238
0.0078125,0.0234375,0,0,-1.42789
0.0234375,0.0234375,-0.000331969,0.000395316,-1.42443
0.0390625,0.0234375,-0.000552345,0.000393323,-1.41752
0.0546875,0.0234375,-0.000771318,0.000390341,-1.40717
0.0703125,0.0234375,-0.000988334,0.000386382,-1.39341
0.0859375,0.0234375,-0.00120285,0.000381457,-1.37628
0.101562,0.0234375,-0.00141432,0.000375584,-1.35582
0.117188,0.0234375,-0.00162222,0.000368781,-1.33209
0.132812,0.0234375,-0.00182603,0.00036107,-1.30513
0.148438,0.0234375,-0.00202526,0.000352476,-1.27502
0.164062,0.0234375,-0.00221941,0.000343026,-1.24184
0.179688,0.0234375,-0.00240801,0.000332749,-1.20567
0.195312,0.0234375,-0.00259062,0.000321676,-1.16659
0.210938,0.0234375,-0.0027668,0.00030984,-1.12471
0.226562,0.0234375,-0.00293613,0.000297276,-1.08013
0.242188,0.0234375,-0.00309822,0.000284019,-1.03296
0.257812,0.0234375,-0.0032527,0.000270106,-0.983309
0.273438,0.0234375,-0.00339921,0.000255576,-0.931309
0.289062,0.0234375,-0.00353743,0.000240467,-0.877083
0.304688,0.0234375,-0.00366705,0.000224818,-0.820764
0.320312,0.0234375,-0.00378779,0.000208669,-0.762488
0.335938,0.0234375,-0.00389938,0.00019206,-0.702396
0.351562,0.0234375,-0.00400158,0.000175032,-0.640633
0.367188,0.0234375,-0.00409417,0.000157624,-0.577347
0.382812,0.0234375,-0.00417697,0.000139877,-0.51269
0.398438,0.0234375,-0.00424979,0.000121832,-0.446816
0.414062,0.0234375,-0.00431249,0.000103527,-0.379884
0.429688,0.0234375,-0.00436494,8.50047e-05,-0.312051
0.445312,0.0234375,-0.00440702,6.63033e-05,-0.24348
0.460938,0.0234375,-0.00443867,4.74631e-05,-0.174332
0.476562,0.0234375,-0.0044598,2.85238e-05,-0.104771
0.492188,0.0234375,-0.00447038,9.52506e-06,-0.0349629
0.507812,0.0234375,-0.0044704,-9.49366e-06,0.0349283
