x,y,u,v,p
0.0078125,0.0078125,0,0,-0.0528045
0.0234375,0.0078125,0,0,-0.0528973
0.0390625,0.0078125,0,0,-0.0528584
0.0546875,0.0078125,0,0,-0.0529279
0.0703125,0.0078125,0,0,-0.0528915
0.0859375,0.0078125,0,0,-0.0529125
0.101562,0.0078125,0,0,-0.0528691
0.117188,0.0078125,0,0,-0.0528578
0.132812,0.0078125,0,0,-0.0528056
0.148438,0.0078125,0,0,-0.0527696
0.164062,0.0078125,0,0,-0.052706
0.179688,0.0078125,0,0,-0.0526489
0.195312,0.0078125,0,0,-0.0525724
0.210938,0.0078125,0,0,-0.0524966
0.226562,0.0078125,0,0,-0.0524063
0.242188,0.0078125,0,0,-0.0523135
0.257812,0.0078125,0,0,-0.0522092
0.273438,0.0078125,0,0,-0.0521008
0.289062,0.0078125,0,0,-0.0519828
0.304688,0.0078125,0,0,-0.0518598
0.320312,0.0078125,0,0,-0.0517287
0.335938,0.0078125,0,0,-0.0515924
0.351562,0.0078125,0,0,-0.051449
0.367188,0.0078125,0,0,-0.0513006
0.382812,0.0078125,0,0,-0.0511461
0.398438,0.0078125,0,0,-0.0509868
0.414062,0.0078125,0,0,-0.0508224
0.429688,0.0078125,0,0,-0.0506538
0.445312,0.0078125,0,0,-0.050481
0.460938,0.0078125,0,0,-0.0503047
0.476562,0.0078125,0,0,-0.050125
0.492188,0.0078125,0,0,-0.0499428
0.507812,0.0078125,0,0,-0.0497582
0.523438,0.0078125,0,0,-0.0495721
0.539062,0.0078125,0,0,-0.0493845
0.554688,0.0078125,0,0,-0.0491965
0.570312,0.0078125,0,0,-0.0490082
0.585938,0.0078125,0,0,-0.0488205
0.601562,0.0078125,0,0,-0.0486337
0.617188,0.0078125,0,0,-0.0484489
0.632812,0.0078125,0,0,-0.048266
0.648438,0.0078125,0,0,-0.0480866
0.664062,0.0078125,0,0,-0.0479101
0.679688,0.0078125,0,0,-0.0477387
0.695312,0.0078125,0,0,-0.047571
0.710938,0.0078125,0,0,-0.0474105
0.726562,0.0078125,0,0,-0.0472541
0.742188,0.0078125,0,0,-0.0471071
0.757812,0.0078125,0,0,-0.0469642
0.773438,0.0078125,0,0,-0.0468338
0.789062,0.0078125,0,0,-0.0467063
0.804688,0.0078125,0,0,-0.0465955
0.820312,0.0078125,0,0,-0.0464848
0.835938,0.0078125,0,0,-0.046397
0.851562,0.0078125,0,0,-0.0463037
0.867188,0.0078125,0,0,-0.046243
0.882812,0.0078125,0,0,-0.0461664
0.898438,0.0078125,0,0,-0.0461381
0.914062,0.0078125,0,0,-0.0460764
0.929688,0.0078125,0,0,-0.04609
0.945312,0.0078125,0,0,-0.0460411
0.960938,0.0078125,0,0,-0.0461147
0.976562,0.0078125,0,0,-0.0460672
0.992188,0.0078125,0,0,-0.0461747
0.0078125,0.0234375,0,0,-0.052713
0.0234375,0.0234375,-2.83409e-05,2.89231e-05,-0.0528077
0.0390625,0.0234375,-0.000258444,2.35939e-06,-0.0527326
0.0546875,0.0234375,-0.000457841,3.13956e-05,-0.0527938
0.0703125,0.0234375,-0.000775456,1.32683e-05,-0.0527327
0.0859375,0.0234375,-0.00103451,2.85849e-05,-0.0527583
0.101562,0.0234375,-0.0013554,1.76115e-05,-0.0527025
0.117188,0.0234375,-0.00162849,2.62749e-05,-0.0526978
0.132812,0.0234375,-0.00193594,1.96022e-05,-0.0526397
0.148438,0.0234375,-0.00220992,2.44808e-05,-0.0526099
0.164062,0.0234375,-0.00250186,2.02778e-05,-0.0525445
0.179688,0.0234375,-0.00276994,2.29089e-05,-0.0524934
0.195312,0.0234375,-0.00304538,2.01209e-05,-0.0524178
0.210938,0.0234375,-0.00330255,2.13889e-05,-0.0523479
0.226562,0.0234375,-0.00356012,1.94032e-05,-0.0522605
0.242188,0.0234375,-0.00380238,1.98253e-05,-0.0521738
0.257812,0.0234375,-0.00404038,1.82816e-05,-0.0520739
0.273438,0.0234375,-0.00426442,1.81644e-05,-0.0519718
0.289062,0.0234375,-0.00448096,1.68505e-05,-0.0518593
0.304688,0.0234375,-0.00468397,1.63775e-05,-0.0517431
0.320312,0.0234375,-0.00487715,1.51688e-05,-0.0516185
0.335938,0.0234375,-0.00505668,1.44518e-05,-0.0514894
0.351562,0.0234375,-0.00522461,1.3276e-05,-0.0513533
0.367188,0.0234375,-0.00537852,1.23843e-05,-0.0512126
0.382812,0.0234375,-0.00551945,1.12006e-05,-0.0510659
0.398438,0.0234375,-0.00564583,1.01787e-05,-0.0509149
0.414062,0.0234375,-0.00575815,8.96515e-06,-0.0507589
0.429688,0.0234375,-0.00585536,7.84314e-06,-0.050599
0.445312,0.0234375,-0.00593762,6.58937e-06,-0.050435
0.460938,0.0234375,-0.00600425,5.38966e-06,-0.0502679
0.476562,0.0234375,-0.0060552,4.09223e-06,-0.0500975
0.492188,0.0234375,-0.00609007,2.83348e-06,-0.0499247
0.507812,0.0234375,-0.0061087,1.49319e-06,-0.0497497
0.523438,0.0234375,-0.0061109,1.93309e-07,-0.0495733
0.539062,0.0234375,-0.00609643,-1.18678e-06,-0.0493955
0.554688,0.0234375,-0.00606533,-2.50827e-06,-0.0492175
0.570312,0.0234375,-0.00601726,-3.92462e-06,-0.049039
0.585938,0.0234375,-0.00595255,-5.24413e-06,-0.0488615
0.601562,0.0234375,-0.00587069,-6.69481e-06,-0.0486846
0.617188,0.0234375,-0.00577241,-7.98165e-06,-0.0485099
0.632812,0.0234375,-0.0056569,-9.4695e-06,-0.0483368
0.648438,0.0234375,-0.00552549,-1.06815e-05,-0.0481674
0.664062,0.0234375,-0.00537683,-1.22192e-05,-0.0480003
0.679688,0.0234375,-0.0052132,-1.32956e-05,-0.0478388
0.695312,0.0234375,-0.00503228,-1.49143e-05,-0.0476801
0.710938,0.0234375,-0.00483786,-1.57646e-05,-0.0475291
0.726562,0.0234375,-0.00462593,-1.7528e-05,-0.0473809
0.742188,0.0234375,-0.00440276,-1.80124e-05,-0.0472432
0.757812,0.0234375,-0.00416144,-2.00416e-05,-0.0471073
0.773438,0.0234375,-0.00391228,-1.99379e-05,-0.0469858
0.789062,0.0234375,-0.00364346,-2.24515e-05,-0.0468637
0.804688,0.0234375,-0.00337196,-2.13985e-05,-0.0467616
0.820312,0.0234375,-0.00307767,-2.47829e-05,-0.046654
0.835938,0.0234375,-0.00278859,-2.21799e-05,-0.0465747
0.851562,0.0234375,-0.0024708,-2.71095e-05,-0.0464811
0.867188,0.0234375,-0.00217038,-2.1938e-05,-0.0464291
0.882812,0.0234375,-0.00183095,-2.95931e-05,-0.0463472
0.898438,0.0234375,-0.00152784,-2.00827e-05,-0.0463277
0.914062,0.0234375,-0.00117007,-3.25329e-05,-0.0462527
0.929688,0.0234375,-0.000880518,-1.53729e-05,-0.0462725
0.945312,0.0234375,-0.000523672,-3.59323e-05,-0.0461961
0.960938,0.0234375,-0.000299185,-3.13222e-06,-0.0462619
0.976562,0.0234375,-3.41503e-05,-3.37393e-05,-0.0461731
0.992188,0.0234375,0,0,-0.0462835
0.0078125,0.0390625,0,0,-0.0527461
0.0234375,0.0390625,-3.93191e-06,0.000259905,-0.0528779
0.0390625,0.0390625,-0.000393221,0.000386583,-0.0528022
0.0546875,0.0390625,-0.000737527,0.000504886,-0.052877
0.0703125,0.0390625,-0.00125639,0.000533325,-0.0528223
0.0859375,0.0390625,-0.00169842,0.000558642,-0.0528516
0.101562,0.0390625,-0.00221579,0.000553138,-0.0528003
0.117188,0.0390625,-0.00267226,0.000554269,-0.0527955
0.132812,0.0390625,-0.00316579,0.000543387,-0.0527396
0.148438,0.0390625,-0.00361716,0.000537279,-0.0527082
0.164062,0.0390625,-0.0040854,0.000524575,-0.0526432
0.179688,0.0390625,-0.00452288,0.000514215,-0.0525897
0.195312,0.0390625,-0.00496454,0.000499612,-0.0525131
0.210938,0.0390625,-0.00538145,0.000485906,-0.0524404
0.226562,0.0390625,-0.00579415,0.000469254,-0.0523509
0.242188,0.0390625,-0.00618492,0.000452695,-0.052261
0.257812,0.0390625,-0.00656571,0.000433965,-0.0521583
0.273438,0.0390625,-0.00692556,0.00041489,-0.0520526
0.289062,0.0390625,-0.00727129,0.000394133,-0.0519366
0.304688,0.0390625,-0.00759602,0.000372806,-0.0518165
0.320312,0.0390625,-0.00790356,0.000350122,-0.0516879
0.335938,0.0390625,-0.0081895,0.00032677,-0.0515545
0.351562,0.0390625,-0.00845585,0.000302293,-0.0514139
0.367188,0.0390625,-0.00869975,0.000277126,-0.0512685
0.382812,0.0390625,-0.00892216,0.00025101,-0.051117
0.398438,0.0390625,-0.00912116,0.000224232,-0.0509609
0.414062,0.0390625,-0.00929715,0.000196651,-0.0507997
0.429688,0.0390625,-0.00944881,0.000168468,-0.0506345
0.445312,0.0390625,-0.00957619,0.000139613,-0.050465
0.460938,0.0390625,-0.00967843,0.000110238,-0.0502922
0.476562,0.0390625,-0.00975539,8.03158e-05,-0.050116
0.492188,0.0390625,-0.00980654,4.99768e-05,-0.0499374
0.507812,0.0390625,-0.00983163,1.92151e-05,-0.0497564
0.523438,0.0390625,-0.00983042,-1.18406e-05,-0.0495738
0.539062,0.0390625,-0.00980261,-4.31904e-05,-0.0493899
0.554688,0.0390625,-0.00974823,-7.46896e-05,-0.0492056
0.570312,0.0390625,-0.00966691,-0.000106349,-0.0490209
0.585938,0.0390625,-0.00955905,-0.000137987,-0.048837
0.601562,0.0390625,-0.00942413,-0.000169646,-0.0486538
0.617188,0.0390625,-0.00926301,-0.000201082,-0.0484728
0.632812,0.0390625,-0.00907489,-0.000232401,-0.0482934
0.648438,0.0390625,-0.00886135,-0.000263251,-0.0481177
0.664062,0.0390625,-0.00862102,-0.000293858,-0.0479445
0.679688,0.0390625,-0.00835657,-0.000323696,-0.0477768
0.695312,0.0390625,-0.0080656,-0.000353196,-0.0476123
0.710938,0.0390625,-0.0077525,-0.000381547,-0.0474554
0.726562,0.0390625,-0.00741308,-0.000409532,-0.0473018
0.742188,0.0390625,-0.00705444,-0.000435868,-0.0471584
0.757812,0.0390625,-0.00666928,-0.000461938,-0.0470178
0.773438,0.0390625,-0.00626921,-0.000485666,-0.0468911
0.789062,0.0390625,-0.00584148,-0.00050946,-0.0467651
0.804688,0.0390625,-0.00540515,-0.000529894,-0.0466582
0.820312,0.0390625,-0.00493823,-0.000551135,-0.046548
0.835938,0.0390625,-0.00447216,-0.000567416,-0.0464647
0.851562,0.0390625,-0.00396923,-0.000585965,-0.0463702
0.867188,0.0390625,-0.00348162,-0.000596775,-0.0463151
0.882812,0.0390625,-0.00294503,-0.000612382,-0.0462347
0.898438,0.0390625,-0.00244698,-0.000614055,-0.0462142
0.914062,0.0390625,-0.00187968,-0.000622418,-0.0461437
0.929688,0.0390625,-0.00139487,-0.000596244,-0.046167
0.945312,0.0390625,-0.000822418,-0.000566709,-0.0460975
0.960938,0.0390625,-0.000443325,-0.000439234,-0.0461784
0.976562,0.0390625,-5.28898e-06,-0.000300206,-0.0460889
0.992188,0.0390625,0,0,-0.0462415
0.0078125,0.0546875,0,0,-0.0526794
0.0234375,0.0546875,-3.12295e-05,0.000465654,-0.0528223
0.0390625,0.0546875,-0.0005145,0.000734745,-0.052732
0.0546875,0.0546875,-0.000939754,0.000931444,-0.0528081
0.0703125,0.0546875,-0.00155636,0.000985612,-0.0527415
0.0859375,0.0546875,-0.00208631,0.0010211,-0.0527726
0.101562,0.0546875,-0.00270038,0.00100957,-0.0527143
0.117188,0.0546875,-0.00324644,0.00100672,-0.0527121
0.132812,0.0546875,-0.00383415,0.000985858,-0.0526527
0.148438,0.0546875,-0.00437405,0.000972413,-0.0526242
0.164062,0.0546875,-0.00493259,0.000948633,-0.0525581
0.179688,0.0546875,-0.00545559,0.000928492,-0.0525076
0.195312,0.0546875,-0.00598258,0.00090142,-0.0524315
0.210938,0.0546875,-0.00648053,0.00087564,-0.0523619
0.226562,0.0546875,-0.00697271,0.000844916,-0.0522742
0.242188,0.0546875,-0.00743884,0.000814176,-0.0521876
0.257812,0.0546875,-0.00789248,0.00077973,-0.0520874
0.273438,0.0546875,-0.00832104,0.000744566,-0.0519852
0.289062,0.0546875,-0.00873228,0.000706502,-0.0518724
0.304688,0.0546875,-0.00911827,0.000667371,-0.0517561
0.320312,0.0546875,-0.00948335,0.000625892,-0.0516311
0.335938,0.0546875,-0.00982243,0.000583208,-0.0515018
0.351562,0.0546875,-0.0101378,0.000538579,-0.0513652
0.367188,0.0546875,-0.0104262,0.000492736,-0.0512241
0.382812,0.0546875,-0.0106886,0.000445261,-0.051077
0.398438,0.0546875,-0.0109229,0.000396642,-0.0509255
0.414062,0.0546875,-0.0111296,0.000346657,-0.0507688
0.429688,0.0546875,-0.0113071,0.000295648,-0.0506084
0.445312,0.0546875,-0.0114554,0.000243512,-0.0504437
0.460938,0.0546875,-0.0115737,0.000190512,-0.0502758
